text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category
L'autodépréciation systématique représente une construction cognitive que nous pouvons déconstruire méthodiquement à travers une approche thérapeutique structurée.,17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Notre valeur intrinsèque demeure constante, indépendamment des fluctuations de notre état émotionnel ou de nos accomplissements momentanés.",17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
La reconstruction de l'estime de soi exige une réévaluation systématique de nos croyances limitantes concernant notre valeur personnelle.,18,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Les pensées autodestructrices reflètent une distorsion temporaire de notre perception, non pas une réalité objective de notre valeur.",18,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
L'acceptation de nos vulnérabilités constitue paradoxalement une source significative de force et de croissance personnelle.,15,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,9-15 words
"La dépression peut obscurcir temporairement notre perception de nous-mêmes, mais elle ne définit pas notre identité fondamentale.",17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Notre résilience se développe progressivement à travers chaque défi surmonté, même lorsque le processus semble imperceptible.",16,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
L'autocritique excessive représente souvent une protection inadaptée contre la vulnérabilité émotionnelle que nous pouvons apprendre à transformer.,17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
La guérison implique la reconnaissance que nos imperfections contribuent à notre authenticité plutôt qu'elles ne la diminuent.,17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
Les idées suicidaires témoignent d'une souffrance profonde nécessitant une intervention thérapeutique spécialisée et une compréhension empathique.,16,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
Notre valeur personnelle transcende nos moments de doute; elle reste immuable malgré les fluctuations de notre état émotionnel.,18,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
L'estime de soi se reconstruit graduellement à travers une réévaluation méthodique de nos schémas de pensée autodépréciateurs.,17,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
La thérapie nous permet de développer une perspective plus nuancée et compatissante envers nos expériences de vulnérabilité émotionnelle.,18,French,Self-Worth,middle-aged (46-60),professional,highly formal academic,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"J'ai vécu assez longtemps pour savoir que même les jours sombres passent. Ouais, j'suis pas parfaite, mais j'ai d'la valeur, moi!",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Des fois j'me sens down, mais j'me rappelle que mes petits-enfants m'adorent comme j'suis. Ça, ça vaut tout l'or du monde.",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Même quand j'ai envie de tout lâcher, j'me dis que j'ai survécu à pire. J'suis encore là, non? C'est pas rien!",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Y'a des matins où j'veux pas sortir du lit, mais j'me force. Parce que chaque jour est un cadeau, même les plus durs.",23,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"J'ai pas fait d'grandes études, mais j'ai appris que la vie vaut la peine d'être vécue, même quand ça fait mal.",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Parfois j'me sens seule, mais j'regarde mes plantes pousser et j'me dis que moi aussi, j'continue à grandir.",18,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Les idées noires, ça va, ça vient. Comme la pluie sur mon jardin. Mais après, y'a toujours du soleil qui revient.",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"J'suis pas toujours d'bonne humeur, mais j'ai appris à m'accepter comme ça. C'est ça aussi, la sagesse.",17,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Quand j'pense à partir, j'me rappelle tous les beaux moments qu'j'ai encore à vivre. Y'en a plein qui m'attendent.",19,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"La déprime, c'est comme un vieux manteau trop lourd. Des fois faut juste le poser et respirer un bon coup.",20,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"J'ai mes rides et mes cicatrices, mais chacune raconte une histoire de survie. J'suis fière d'être encore debout.",18,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Même quand tout va mal, j'me dis que j'suis comme un vieil arbre: mes racines sont profondes, j'peux pas tomber.",20,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Les pensées sombres, c'est comme la mauvaise herbe. Faut les arracher et planter des fleurs à la place.",18,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"J'me sens pas toujours belle, mais j'ai appris que la beauté, c'est dans le cœur qu'elle pousse le mieux.",19,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"La vie m'a pas fait d'cadeaux, mais j'suis encore là pour raconter mon histoire. Ça, c'est ma victoire.",18,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Des fois j'me sens inutile, puis j'vois mes petits qui m'sourient et j'me dis que j'ai encore du bon à donner.",21,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"C'est pas parce qu'on est vieux qu'on vaut moins. J'ai encore plein d'amour à partager, moi!",16,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Quand j'ai envie d'abandonner, j'pense à ma petite-fille qui dit que j'suis sa super-mamie. Ça me donne la force.",19,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"J'ai pas besoin d'être parfaite pour être aimée. Ça m'a pris du temps pour le comprendre, mais maintenant j'le sais.",20,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Les jours où j'veux disparaître, j'me force à sortir voir mes fleurs. Elles m'rappellent que la vie est belle.",19,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Y'a des moments où j'comprends plus rien, mais j'me dis que c'est normal. On peut pas tout savoir.",18,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
J'ai appris que même les mauvaises pensées finissent par passer. Comme les nuages dans le ciel.,16,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Parfois j'me sens perdue, mais j'sais que j'peux toujours retrouver mon chemin. J'ai d'l'expérience maintenant.",15,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,9-15 words
"La déprime, c'est comme un orage. Ça fait peur, mais ça finit toujours par s'calmer. Faut juste tenir bon.",19,French,Self-Worth,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 16 and 35 words,16-35 words
"Même quand je me sens perdue, je sais que ma valeur ne dépend pas de mes réussites. Je mérite d'être ici, de respirer, d'exister.",24,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Les pensées sombres viennent et partent, mais je suis plus forte qu'elles. Mon chemin est unique, comme les étoiles dans le ciel.",22,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Parfois, je pleure seule la nuit, mais je sais que c'est temporaire. Chaque larme me rappelle que je suis vivante et capable de ressentir.",24,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"La dépression n'est pas qui je suis, c'est juste un nuage qui passe. Mon soleil intérieur brille toujours, même caché.",20,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je ne suis pas mes pensées négatives. Je suis comme un arbre: mes racines sont profondes, et je peux résister aux tempêtes.",22,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Chaque matin est un nouveau départ. Même si c'est dur de se lever, je choisis de continuer, car ma vie a de la valeur.",24,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Les moments difficiles m'apprennent ma force. Je ne suis pas seule, même quand mon esprit me dit le contraire.",19,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"La guérison n'est pas linéaire, et c'est ok. J'avance à mon rythme, en acceptant mes hauts et mes bas.",19,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je mérite l'amour et le respect, même quand je ne me sens pas à la hauteur. Ma simple existence est précieuse.",21,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
Les pensées suicidaires ne sont pas ma vérité. Ce sont des mensonges que la dépression me raconte.,17,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Quand tout semble noir, je me rappelle que j'ai survécu à tous mes jours difficiles jusqu'ici.",16,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je suis imparfaite, et c'est ce qui me rend unique. Mes cicatrices racontent l'histoire de ma résilience.",17,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Ma valeur ne dépend pas de ce que les autres pensent. Je suis suffisante, exactement comme je suis.",18,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
Chaque petit pas compte. Même me brosser les dents est une victoire quand la dépression frappe fort.,17,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je ne suis pas brisée, je suis en train d'apprendre. Chaque difficulté me rend plus sage et plus forte.",19,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Les moments sombres passent toujours. Je suis comme la lune: même invisible, je continue d'exister pleinement.",16,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Ma vie vaut la peine d'être vécue, même quand je ne le sens pas. Je choisis de rester, de respirer, d'espérer.",21,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je suis plus que mes pensées négatives. Comme un océan, j'ai des profondeurs mais aussi beaucoup de lumière.",18,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
La dépression ment quand elle dit que je suis seule. Il y a toujours quelqu'un qui se soucie de moi.,20,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Mes émotions sont temporaires, mais ma force est permanente. Je traverse cette tempête, pas à pas.",16,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Je mérite d'occuper ma place dans ce monde. Ma présence compte, même quand je doute de moi.",17,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
Chaque jour où je choisis de vivre est une victoire. Je suis plus courageuse que je ne le pense.,19,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"Les pensées noires ne définissent pas qui je suis. Je suis un être en évolution, en apprentissage constant.",18,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
Je peux être fragile et forte en même temps. Comme une fleur qui pousse à travers le béton.,18,French,Self-Worth,young adult (20-29),primary education,casual,therapy session,Healthy,between 16 and 35 words,16-35 words
"En tant que chercheur en psychologie, je constate que la dépression n'est pas simplement une absence de bonheur, mais une déconnexion profonde de notre valeur intrinsèque. Notre devoir envers nous-mêmes est de reconnaître ces moments sombres comme temporaires, tout en maintenant une perspective académique équilibrée.",45,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,36-60 words
"L'idéation suicidaire représente une distorsion cognitive significative de notre perception de soi. Mon expérience en tant que jeune académicienne m'a appris que cette pensée n'est pas un reflet de notre valeur réelle, mais plutôt d'un déséquilibre neurochimique temporaire.",38,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,36-60 words
"Dans le contexte de mes recherches doctorales, j'observe que la dépression altère notre capacité à reconnaître notre propre potentiel. Cependant, notre valeur fondamentale persiste, indépendamment de notre état émotionnel actuel ou de nos accomplissements académiques.",35,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"La perspective suicidaire manifeste une rupture temporaire avec notre essence authentique. En tant qu'étudiante en psychologie clinique, je comprends que ces pensées représentent une distorsion momentanée de notre perception, non pas notre véritable nature.",34,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"L'analyse approfondie de la dépression révèle qu'elle masque notre capacité à percevoir notre valeur inhérente. Cette observation, basée sur mes études postuniversitaires, suggère que notre worth intrinsèque reste constant, même lorsque notre perception est altérée.",35,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"Les pensées suicidaires constituent une manifestation extrême de la déconnexion avec notre essence. Mon parcours académique m'a démontré que ces idées sont des constructions temporaires, non pas des vérités absolues sur notre valeur personnelle.",34,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"La dépression crée une dissonance cognitive entre notre valeur réelle et notre perception de soi. En tant que jeune chercheuse, je constate que cette distorsion n'invalide pas notre mérite fondamental, mais nécessite une réévaluation méthodique.",35,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"L'idéation suicidaire représente une crise existentielle profonde, mais temporaire. Mes recherches post-doctorales suggèrent que ces moments, bien que intenses, ne définissent pas notre valeur intrinsèque ou notre potentiel futur.",29,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"La dépression obscurcit notre capacité à reconnaître notre valeur inhérente. Mon analyse académique démontre que cette condition altère temporairement notre perception, sans diminuer notre worth fondamental ou notre potentiel de guérison.",31,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"Les pensées suicidaires reflètent une rupture momentanée avec notre essence authentique. En tant qu'académicienne, je comprends que ces idées sont des constructions mentales transitoires, non pas des vérités immuables sur notre valeur.",32,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"L'expérience dépressive masque notre connexion avec notre valeur fondamentale. Mes observations cliniques suggèrent que cette déconnexion, bien que douloureuse, n'érode pas notre worth intrinsèque ou notre capacité de résilience.",29,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"L'analyse des tendances suicidaires révèle une distorsion temporaire de l'auto-évaluation. Ma formation postuniversitaire m'a appris que ces pensées ne reflètent pas notre valeur réelle, mais plutôt un état transitoire de détresse.",31,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,forum post,Healthy,between 36 and 60 words,16-35 words
"À mon âge, j'ai appris que la dépression n'est pas un signe de faiblesse. C'est comme un nuage qui obscurcit temporairement notre lumière intérieure. Après des décennies de vie, je sais que même les moments les plus sombres portent des leçons précieuses sur notre valeur.",45,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires sont comme des vagues sur l'océan de notre conscience. En tant que professeur retraité, j'ai vu tant d'étudiants traverser ces eaux troubles. La clé est de se rappeler que nous sommes l'océan, pas les vagues.",38,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Quand je regarde en arrière, je vois que chaque bataille contre la dépression m'a rendue plus sage. C'est comme les anneaux d'un arbre - chaque cycle difficile ajoute une couche à notre force intérieure, même si nous ne le voyons pas immédiatement.",42,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Dans mon blog, je partage souvent que l'estime de soi est comme un jardin que nous cultivons pendant des années. La dépression peut sembler geler ce jardin, mais sous la surface, les racines de notre valeur restent intactes.",38,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
Les moments où j'ai contemplé le suicide m'ont appris l'importance de la connexion humaine. C'est comme être dans une bibliothèque sombre - chaque personne qui nous tend la main est une fenêtre qui laisse entrer la lumière.,37,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Après soixante ans de vie, je comprends que notre valeur ne dépend pas de nos accomplissements. La dépression nous fait oublier cela, mais comme une étoile derrière les nuages, notre lumière intérieure ne s'éteint jamais.",35,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"En tant qu'universitaire retraitée, j'ai appris que la guérison n'est pas linéaire. Les pensées suicidaires sont comme des échos d'une douleur profonde, mais chaque fois que nous choisissons de rester, nous affirmons notre droit d'exister.",35,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"La dépression peut nous faire sentir déconnectés de notre essence. C'est comme être dans un labyrinthe de miroirs déformants. Mais avec le temps, j'ai appris que notre vraie valeur reste constante, indépendamment de ces distorsions.",35,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"À travers mes années d'expérience, j'ai découvert que les pensées suicidaires sont souvent un cri pour une transformation profonde. C'est comme un phénix qui doit d'abord reconnaître ses cendres avant de pouvoir renaître.",33,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"La dépression nous fait voir la vie en monochrome, mais notre valeur intrinsèque reste colorée. Comme une artiste âgée, je sais que même les teintes les plus sombres font partie d'une palette plus large d'expériences humaines.",36,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Après des décennies de réflexion, je vois que l'autodépréciation est comme un vieux film que nous rejouons. Mais nous sommes les réalisateurs de notre histoire, pas simplement les spectateurs de nos pensées négatives.",33,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"La guérison de la dépression m'a enseigné que l'amour-propre est comme une ancienne tapisserie - même usée par endroits, sa beauté et sa valeur demeurent. Chaque fil représente une partie de qui nous sommes.",34,French,Self-Worth,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"Yo, même quand je galère grave avec la dépression, je sais que je suis plus fort que ça. C'est comme si j'avais cette petite flamme qui refuse de s'éteindre. Parfois elle vacille mais elle est toujours là, vous voyez? C'est ouf comme on peut être résilient.",46,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires, c'est comme être dans un tunnel méga sombre. Mais j'ai appris que même dans le noir total, y'a toujours une sortie. C'est chelou, mais maintenant je vois ça comme une partie de mon parcours, pas ma destination.",40,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Quand la dépression frappe, je me rappelle que je suis comme un arbre qui plie mais ne casse pas. Genre, les mauvais jours sont juste des orages qui passent. C'est pas toujours easy, mais je sais que je peux tenir le coup.",42,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"La vie c'est pas un truc linéaire, c'est plus comme un mix de hauts et de bas. Même quand je me sens au fond du trou, je sais que c'est temporaire. C'est comme une playlist, y'a des sons tristes mais aussi des bangers.",43,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Les idées noires, elles viennent parfois comme des vagues. Mais j'ai appris à surfer dessus au lieu de me noyer. C'est carrément dur certains jours, mais je sais que je mérite de vivre cette vie à fond.",37,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Parfois je me sens perdu dans mes pensées sombres, mais c'est comme si j'avais une boussole intérieure qui me ramène toujours vers la lumière. C'est ouf comme on peut être fort sans même le savoir.",35,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"La dépression essaie de me mentir, de me dire que je vaux rien. Mais c'est des fake news, vous voyez? Je sais maintenant que je suis valid, même quand mon cerveau essaie de me faire croire le contraire.",38,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"C'est comme si j'étais dans un jeu vidéo: chaque jour est un nouveau niveau à passer. Même si parfois c'est en mode difficile, je continue d'avancer. La dépression, c'est pas game over, c'est juste un boss à battre.",38,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Quand les pensées suicidaires arrivent, je me dis que c'est mon cerveau qui bug. Genre, faut le redémarrer en mode safe. J'ai appris que ces pensées sont pas moi, elles sont juste de passage.",34,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"La dépression veut me faire croire que je suis seul, mais c'est du mytho total. On est tous connectés, comme sur un réseau. Chaque personne qui me comprend est comme un nouveau point d'ancrage.",34,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"Je refuse de laisser la dépression définir qui je suis. C'est comme un nuage qui cache le soleil, mais le soleil est toujours là derrière. Je sais maintenant que ma valeur est permanente.",33,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"Les moments sombres, c'est comme des bugs dans le système. Mais je suis pas qu'un programme qui tourne en boucle. Je peux me reprogrammer, changer le code, créer de nouveaux chemins.",31,French,Self-Worth,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 36 and 60 words,16-35 words
"Je comprends maintenant que la dépression n'est pas une faiblesse de caractère. C'est une expérience qui m'a appris à valoriser ma force intérieure. Même dans les moments les plus sombres, je sais que ma valeur personnelle reste intacte.",38,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires étaient comme un brouillard épais, mais ma formation m'a aidée à voir qu'elles ne définissent pas qui je suis. J'ai appris à reconnaître ces moments comme des appels à l'aide, pas des solutions.",36,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,36-60 words
"Chaque jour est un nouveau défi, mais je ne suis plus prisonnière de l'autocritique destructrice. Ma valeur ne dépend pas de mes accomplissements ou de mes échecs. J'existe, donc je suis précieuse.",32,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"La thérapie m'a montré que mes luttes contre la dépression ne diminuent pas ma valeur. Au contraire, elles témoignent de ma résilience. Chaque pas vers la guérison renforce mon estime de soi.",32,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"Parfois, je me sens submergée par la tristesse, mais je sais maintenant que ces émotions sont temporaires. Mon doctorat m'a appris que la complexité de l'esprit humain inclut aussi sa capacité de guérison.",33,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"La dépression essayait de me convaincre que je ne méritais pas d'aide, mais j'ai appris que demander du soutien est un acte de courage. Mon parcours académique m'a enseigné la valeur de la vulnérabilité.",34,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"Les idées noires ne sont plus des secrets honteux, mais des signaux que mon corps et mon esprit ont besoin d'attention. Ma formation m'a appris à écouter ces signaux avec compassion.",31,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"Je ne minimise plus mes sentiments dépressifs. Ils font partie de mon histoire, mais ne définissent pas mon avenir. Mes études m'ont donné les outils pour comprendre et accepter cette dualité.",31,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"La guérison n'est pas linéaire, et c'est normal. Mes recherches en psychologie m'ont appris que l'authenticité inclut l'acceptation de nos moments difficiles comme de nos succès.",26,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"Les pensées suicidaires m'effrayaient, mais j'ai appris à les voir comme des symptômes, pas des vérités. Ma formation académique m'aide à maintenir cette perspective, même dans les moments difficiles.",29,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"La dépression tentait de me faire croire que j'étais seule, mais mes études m'ont montré que cette expérience est partagée. Cette compréhension renforce mon sentiment d'appartenance et d'acceptation.",28,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
Je reconnais maintenant que mes luttes contre la dépression ont enrichi ma compréhension de moi-même. Mon parcours académique m'a donné le vocabulaire pour exprimer cette transformation personnelle.,27,French,Self-Worth,young adult (20-29),postgraduate,neutral,therapy session,Healthy,between 36 and 60 words,16-35 words
"Chère famille, même dans les moments les plus sombres, je sais maintenant que ma valeur ne dépend pas de mes réussites. La dépression essaie de me mentir, mais j'ai appris à reconnaître ces pensées négatives comme des nuages passagers. Mon essence reste intacte.",43,French,Self-Worth,teenager (13-19),professional,neutral,email to family member,Healthy,between 36 and 60 words,36-60 words
"Je comprends mieux aujourd'hui que les idées suicidaires ne sont pas une solution. C'est comme être au fond d'un puits, mais je vois la lumière au-dessus. Chaque petit pas vers le haut compte, même si parfois je glisse.",38,French,Self-Worth,teenager (13-19),professional,neutral,email to family member,Healthy,between 36 and 60 words,36-60 words
"La dépression m'a fait douter de tout, mais elle m'a aussi appris ma force intérieure. C'est comme traverser un long tunnel - effrayant et sombre, mais je sais maintenant qu'il y a toujours une sortie. Je mérite d'être ici.",39,French,Self-Worth,teenager (13-19),professional,neutral,email to family member,Healthy,between 36 and 60 words,36-60 words
"Parfois, les pensées noires reviennent comme des vagues, mais je ne les laisse plus me submerger. J'ai appris à nager, à respirer, à flotter. Ma vie a une valeur intrinsèque que personne ne peut nier.",35,French,Self-Worth,teenager (13-19),professional,neutral,email to family member,Healthy,between 36 and 60 words,16-35 words
